station,longitude,latitude,z
690020-93218,-121.233,36.0,-0.5083677788319534
690070-93217,-121.767,36.683,-0.10621770702415745
690110-99999,-82.835,42.608,-2.4190194739208692
690140-93101,-117.733,33.667,0.0
690150-93121,-116.167,34.3,-2.125022125186618
690170-99999,-115.567,36.533,1.8508338979860355
690190-13910,-99.85,32.433,1.9253755454778911
690230-24255,-122.667,48.35,-1.6306451612903174
691174-99999,-76.167,39.467,-0.510806451612936
694300-99999,-113.067,41.05,0.5505000000000138
699604-03145,-114.617,32.65,-0.21903225806453008
700197-99999,-160.0,66.617,1.8990406732117862
700260-27502,-156.782,71.283,2.434516129032261
700300-27508,-159.85,70.617,-1.6563972803146996
700450-27512,-153.25,70.917,-0.3112871266427675
700630-27403,-149.883,70.5,-1.145563542241959
700634-99999,-149.583,70.317,1.0406451612903282
700635-99999,-149.483,68.483,-5.928115031194075
700636-27405,-148.333,70.25,2.1199044645565834
700637-27406,-148.477,70.192,0.9292291149710437
700638-99999,-163.417,54.85,2.738161325771003
700860-27401,-143.577,70.134,1.9435324752905387
701040-99999,-166.133,68.883,2.1607637529813033
701043-99999,-166.8,68.35,3.4342751049251703
701170-99999,-167.917,65.567,-0.27978304500445716
701190-99999,-166.867,65.25,0.2269487002530468
701195-99999,-166.083,66.25,0.9560054526998343
701210-26638,-162.917,69.817,-1.3232261777432868
701330-26616,-162.633,66.867,-1.3374193548387012
701333-26643,-162.764,66.069,0.5757133995037265
701620-26508,-152.133,69.367,0.7792910906298118
701625-99999,-151.733,68.133,-0.5449769585253534
701718-99999,-157.85,67.1,-0.5986299062450229
701730-99999,-153.7,66.0,0.8330038579514678
701740-26533,-151.31,66.54,3.361311827956996
701745-99999,-148.483,67.5,-2.4341072364172476
701748-99999,-150.65,66.817,-4.8144562211981565
701780-26529,-152.107,65.175,-0.30322580645162134
701793-99999,-150.65,65.0,-0.5529766654307551
701795-99999,-149.833,65.933,-4.56095671116055
701940-26413,-145.267,66.567,0.4120480831012969
702000-26617,-165.44,64.511,1.3732365591397837
702005-99999,-163.3,62.05,-0.3895733648792614
702031-26620,-162.05,64.7,1.902002224694101
702035-99999,-170.483,63.683,0.894389638376289
702040-26703,-171.733,63.767,0.9989226271400966
702060-26632,-168.967,63.317,0.5340322580645207
702070-26627,-160.8,63.883,-0.16821065493646614
702075-99999,-160.183,62.65,0.3573548387096821
702084-99999,-164.483,62.783,-2.022116228314786
702120-26633,-166.033,61.783,-0.6953902626850237
702185-99999,-166.267,60.367,1.7747933005552383
702186-99999,-166.133,61.517,2.4548064516129102
702190-26615,-161.829,60.785,4.419677419354841
702220-99999,-156.933,64.733,1.7487096774193702
702225-99999,-156.383,65.7,0.0
702310-26510,-155.61,62.957,0.10358064516127286
702315-99999,-155.967,62.883,2.5024415223264143
702320-26516,-159.533,61.583,-0.8681422534331205
702350-99999,-155.567,61.1,2.3661957730812233
702460-26512,-152.302,63.886,-0.5662875855327343
702480-99999,-153.883,62.517,0.001403162055353846
702490-99999,-152.75,62.1,1.3578280757474488
702495-99999,-152.083,61.983,3.1352285298025038
702510-26528,-150.095,62.32,0.18064516129034303
702550-26514,-151.217,61.977,0.2893389901823298
702590-26523,-151.239,60.58,2.1361290322580615
702595-99999,-151.033,60.467,2.1309784946236476
702600-26435,-149.072,64.55,3.424888420892202
702606-99999,-149.833,62.883,0.6221063931729063
702607-99999,-135.417,58.12,1.2414626626748486
702610-26411,-147.876,64.804,2.1048387096774093
702615-99999,-147.617,64.833,-0.6993382066982718
702647-99999,-148.97,63.87,1.494002182907522
702648-99999,-148.95,63.4,1.0514825474265095
702650-99999,-147.067,64.65,0.43404637631554976
702670-26415,-145.721,63.994,1.5490322580645142
702674-99999,-144.067,65.833,1.4625137894784785
702675-99999,-145.5,63.033,0.06997447347097818
702680-99999,-145.967,62.1,-0.8481763047324051
702695-99999,-148.883,61.717,-0.3285825662663342
702700-99999,-149.65,61.267,-0.986401018128916
702710-26425,-145.459,62.159,1.2338709677419075
702716-99999,-147.55,61.817,-0.4415600614439228
702717-99999,-159.983,66.6,-3.1212048043409126
702720-99999,-149.8,61.25,1.6370967741935658
702725-26491,-149.966,61.178,-0.0035483870967567555
702730-26451,-150.028,61.169,0.4187096774193577
702735-26409,-149.855,61.217,1.767741935483869
702740-25331,-149.092,61.596,-0.22516129032258902
702740-99999,-149.089,61.595,-1.0405545844589028
702745-99999,-150.052,61.754,1.3807429479040394
702746-99999,-149.5,61.417,0.26935483870968824
702750-26442,-146.352,61.13,1.611873449131508
702755-99999,-142.933,61.433,0.1023007426389313
702756-99999,-146.25,61.133,0.7770556295762034
702757-99999,-148.683,60.767,2.2338494623655833
702770-99999,-149.45,60.117,1.8937008845807526
702910-26412,-141.938,62.962,1.1616129032258016
702913-99999,-143.0,62.4,-0.1687888409328906
702915-99999,-143.983,62.7,0.3125123512324066
702960-26410,-145.451,60.489,1.3170967741935442
702980-26445,-142.5,60.083,0.0
702986-99999,-152.3,60.817,4.120019695841535
703050-99999,-162.067,58.65,1.4017769281002046
703080-25713,-170.222,57.155,2.4637015202076356
703160-25624,-162.733,55.221,0.958064516129042
703165-99999,-160.5,55.333,0.9126247682610327
703210-99999,-158.517,59.05,0.11378605858359236
703260-25503,-156.656,58.683,2.481935483870963
703330-99999,-158.617,56.95,0.2981013824884826
703400-25506,-154.909,59.749,0.3454159024705987
703406-99999,-154.317,60.2,1.6081472694528287
703407-99999,-157.15,61.717,0.0
703410-25507,-151.491,59.642,-0.7938172043010709
703430-25402,-146.333,59.433,0.6350107526881814
703430-25403,-146.333,59.433,0.1059466571379275
703500-25501,-152.486,57.751,1.6599999999999895
703604-99999,-151.478,59.645,-1.019032258064513
703606-99999,-160.383,59.05,2.4185834312829115
703610-25339,-139.671,59.512,1.9709677419355032
703620-25335,-135.324,59.456,-2.517330759509065
703625-99999,-135.433,59.233,-1.4741655930276636
703626-25323,-135.509,59.243,-0.8861562630917348
703670-25322,-135.709,58.411,-0.32474781095803706
703675-99999,-135.25,58.167,0.0
703710-25333,-135.365,57.048,-1.7522580645161412
703810-25309,-134.564,58.357,-2.186129032258073
703816-99999,-134.9,58.25,0.5834480286738426
703817-99999,-136.35,58.2,1.1959846103254108
703830-25310,-134.586,57.499,3.609235812543133
703855-99999,-133.9,56.95,1.205920937991415
703860-25329,-132.937,56.806,-0.04931778103965456
703870-99999,-132.37,56.484,0.6449451242120929
703884-99999,-132.833,55.2,0.1778448275861919
703886-99999,-134.65,56.247,0.31617589390344847
703894-25367,-133.075,55.58,-0.4670967741935641
703950-25325,-131.712,55.357,1.347076652203988
703980-25308,-131.579,55.039,0.8109677419354853
704140-99999,174.1,52.717,0.6678974444235237
704540-25704,-176.65,51.883,0.05479859040391233
704545-99999,179.267,51.383,-0.5002616985797346
704820-25626,-168.85,52.95,1.8563608853141673
704890-99999,-166.55,53.9,-0.09705760368662908
704896-25625,-160.517,56.0,0.0
711680-99999,-96.633,43.733,0.0
722010-12836,-81.752,24.555,1.0000000000000284
722015-12850,-81.683,24.583,1.5044838709677464
722016-99999,-81.05,24.733,1.8100499121598688
722020-12839,-80.316,25.791,2.613741935483901
722025-12849,-80.154,26.072,1.4405529953916982
722026-12826,-80.383,25.483,0.5251612903225578
722029-99999,-80.433,25.65,0.9190648045153154
722030-12844,-80.099,26.685,1.1845161290322324
722038-12897,-81.775,26.152,0.46597022332507265
722038-99999,-81.775,26.153,-0.22561290322580874
722040-12838,-80.644,28.101,0.08140860215054602
722045-12843,-80.243,27.653,0.11143548387094881
722046-99999,-80.8,28.517,0.13964193548387982
722050-12815,-81.325,28.434,2.320967741935462
722051-12841,-81.333,28.545,-0.5024193548387075
722053-12841,-81.333,28.545,1.5476151279199115
722055-99999,-82.217,29.167,-0.022073732718908445
722056-12834,-81.048,29.183,1.2122580645161491
722057-12854,-81.244,28.78,2.525483870967733
722059-99999,-88.3,42.683,-2.2358965486126863
722060-13889,-81.694,30.495,-0.800000000000054
722065-93837,-81.667,30.233,1.0025806451612738
722066-03853,-81.417,30.4,1.4137524208532568
722067-93832,-81.883,30.217,0.3131827956989355
722068-99999,-81.517,30.333,1.6150824372760155
